date,crime_type,crime_count
9/1/2019,PUBLIC ORDER OFFENCES,4472
9/1/2019,ROBBERY,3352
9/1/2019,SEXUAL OFFENCES,1611
9/1/2019,THEFT,19883
9/1/2019,VEHICLE OFFENCES,11616
9/1/2019,VIOLENCE AGAINST THE PERSON,18470
10/1/2019,ARSON AND CRIMINAL DAMAGE,4880
10/1/2019,BURGLARY,7293
10/1/2019,DOMESTIC ABUSE,9410
10/1/2019,DRUG OFFENCES,4005
10/1/2019,GUN CRIME,257
10/1/2019,HATE CRIME,5703
10/1/2019,KNIFE CRIME,2021
10/1/2019,LETHAL BARREL DISCHARGE,17
10/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,4347
10/1/2019,PUBLIC ORDER OFFENCES,4680
10/1/2019,ROBBERY,3750
10/1/2019,SEXUAL OFFENCES,1672
10/1/2019,THEFT,22266
10/1/2019,VEHICLE OFFENCES,12309
10/1/2019,VIOLENCE AGAINST THE PERSON,18907
11/1/2019,ARSON AND CRIMINAL DAMAGE,4574
11/1/2019,BURGLARY,7096
11/1/2019,DOMESTIC ABUSE,9211
11/1/2019,DRUG OFFENCES,4056
11/1/2019,GUN CRIME,220
11/1/2019,HATE CRIME,5602
11/1/2019,KNIFE CRIME,2145
11/1/2019,LETHAL BARREL DISCHARGE,14
11/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,4180
11/1/2019,PUBLIC ORDER OFFENCES,4389
11/1/2019,ROBBERY,3839
11/1/2019,SEXUAL OFFENCES,1755
11/1/2019,THEFT,21261
11/1/2019,VEHICLE OFFENCES,11391
11/1/2019,VIOLENCE AGAINST THE PERSON,18911
12/1/2019,ARSON AND CRIMINAL DAMAGE,4547
12/1/2019,BURGLARY,6836
12/1/2019,DOMESTIC ABUSE,9570
12/1/2019,DRUG OFFENCES,3510
12/1/2019,GUN CRIME,175
12/1/2019,HATE CRIME,5375
12/1/2019,KNIFE CRIME,1858
12/1/2019,LETHAL BARREL DISCHARGE,33
12/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,3685
12/1/2019,PUBLIC ORDER OFFENCES,4128
12/1/2019,ROBBERY,3366
12/1/2019,SEXUAL OFFENCES,1529
12/1/2019,THEFT,20203
12/1/2019,VEHICLE OFFENCES,10972
12/1/2019,VIOLENCE AGAINST THE PERSON,18244
1/1/2020,ARSON AND CRIMINAL DAMAGE,4422
1/1/2020,BURGLARY,6992
1/1/2020,DOMESTIC ABUSE,9362
1/1/2020,DRUG OFFENCES,4733
1/1/2020,GUN CRIME,229
1/1/2020,HATE CRIME,4990
1/1/2020,KNIFE CRIME,1954
1/1/2020,LETHAL BARREL DISCHARGE,29
1/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,3597
1/1/2020,PUBLIC ORDER OFFENCES,4240
1/1/2020,ROBBERY,3365
1/1/2020,SEXUAL OFFENCES,1707
1/1/2020,THEFT,18840
1/1/2020,VEHICLE OFFENCES,12090
1/1/2020,VIOLENCE AGAINST THE PERSON,18066
2/1/2020,ARSON AND CRIMINAL DAMAGE,4341
2/1/2020,BURGLARY,6301
2/1/2020,DOMESTIC ABUSE,8896
2/1/2020,DRUG OFFENCES,4236
2/1/2020,GUN CRIME,164
2/1/2020,HATE CRIME,5433
2/1/2020,KNIFE CRIME,1732
2/1/2020,LETHAL BARREL DISCHARGE,25
2/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,3883
2/1/2020,PUBLIC ORDER OFFENCES,4051
2/1/2020,ROBBERY,3215
2/1/2020,SEXUAL OFFENCES,1804
2/1/2020,THEFT,19725
2/1/2020,VEHICLE OFFENCES,10762
2/1/2020,VIOLENCE AGAINST THE PERSON,17279
3/1/2020,ARSON AND CRIMINAL DAMAGE,4386
3/1/2020,BURGLARY,5362
3/1/2020,DOMESTIC ABUSE,9364
3/1/2020,DRUG OFFENCES,4015
3/1/2020,GUN CRIME,166
3/1/2020,HATE CRIME,5347
3/1/2020,KNIFE CRIME,1583
3/1/2020,LETHAL BARREL DISCHARGE,22
3/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,3071
3/1/2020,PUBLIC ORDER OFFENCES,4090
3/1/2020,ROBBERY,2719
3/1/2020,SEXUAL OFFENCES,1544
3/1/2020,THEFT,14874
3/1/2020,VEHICLE OFFENCES,9588
3/1/2020,VIOLENCE AGAINST THE PERSON,17657
4/1/2020,ARSON AND CRIMINAL DAMAGE,3486
4/1/2020,BURGLARY,3666
4/1/2020,DOMESTIC ABUSE,9437
4/1/2020,DRUG OFFENCES,5422
4/1/2020,GUN CRIME,90
4/1/2020,HATE CRIME,4412
4/1/2020,KNIFE CRIME,964
4/1/2020,LETHAL BARREL DISCHARGE,4
4/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,686
4/1/2020,PUBLIC ORDER OFFENCES,3538
4/1/2020,ROBBERY,1105
4/1/2020,SEXUAL OFFENCES,996
4/1/2020,THEFT,7276
4/1/2020,VEHICLE OFFENCES,6343
4/1/2020,VIOLENCE AGAINST THE PERSON,15474
5/1/2020,ARSON AND CRIMINAL DAMAGE,3903
5/1/2020,BURGLARY,3894
5/1/2020,DOMESTIC ABUSE,10586
5/1/2020,DRUG OFFENCES,6898
5/1/2020,GUN CRIME,160
5/1/2020,HATE CRIME,5692
5/1/2020,KNIFE CRIME,1183
5/1/2020,LETHAL BARREL DISCHARGE,21
5/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,810
5/1/2020,PUBLIC ORDER OFFENCES,4345
5/1/2020,ROBBERY,1316
5/1/2020,SEXUAL OFFENCES,1277
5/1/2020,THEFT,8969
5/1/2020,VEHICLE OFFENCES,7275
5/1/2020,VIOLENCE AGAINST THE PERSON,17855
6/1/2020,ARSON AND CRIMINAL DAMAGE,4341
6/1/2020,BURGLARY,4311
6/1/2020,DOMESTIC ABUSE,10243
6/1/2020,DRUG OFFENCES,5073
6/1/2020,GUN CRIME,177
6/1/2020,HATE CRIME,8281
6/1/2020,KNIFE CRIME,1478
6/1/2020,LETHAL BARREL DISCHARGE,39
6/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,1076
6/1/2020,PUBLIC ORDER OFFENCES,5070
6/1/2020,ROBBERY,1716
6/1/2020,SEXUAL OFFENCES,1539
6/1/2020,THEFT,11495
6/1/2020,VEHICLE OFFENCES,8107
6/1/2020,VIOLENCE AGAINST THE PERSON,19112
7/1/2020,ARSON AND CRIMINAL DAMAGE,4702
7/1/2020,BURGLARY,4959
7/1/2020,DOMESTIC ABUSE,10915
7/1/2020,DRUG OFFENCES,5015
7/1/2020,GUN CRIME,209
7/1/2020,HATE CRIME,8091
7/1/2020,KNIFE CRIME,1592
7/1/2020,LETHAL BARREL DISCHARGE,45
7/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,1838
7/1/2020,PUBLIC ORDER OFFENCES,5765
7/1/2020,ROBBERY,2197
7/1/2020,SEXUAL OFFENCES,1803
7/1/2020,THEFT,15221
7/1/2020,VEHICLE OFFENCES,9026
7/1/2020,VIOLENCE AGAINST THE PERSON,20366
8/1/2020,ARSON AND CRIMINAL DAMAGE,4681
8/1/2020,BURGLARY,4994
8/1/2020,DOMESTIC ABUSE,11269
8/1/2020,DRUG OFFENCES,3824
8/1/2020,GUN CRIME,205
8/1/2020,HATE CRIME,7488
8/1/2020,KNIFE CRIME,1753
8/1/2020,LETHAL BARREL DISCHARGE,33
8/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,889
8/1/2020,POSSESSION OF WEAPONS,543
8/1/2020,PUBLIC ORDER OFFENCES,5337
8/1/2020,ROBBERY,2495
8/1/2020,SEXUAL OFFENCES,1602
8/1/2020,THEFT,16048
8/1/2020,VEHICLE OFFENCES,8879
8/1/2020,VIOLENCE AGAINST THE PERSON,20230
9/1/2020,ARSON AND CRIMINAL DAMAGE,4286
9/1/2020,BURGLARY,5180
9/1/2020,DOMESTIC ABUSE,9827
9/1/2020,DRUG OFFENCES,3789
9/1/2020,FRAUD AND FORGERY,0
9/1/2020,GUN CRIME,201
9/1/2020,HATE CRIME,6626
9/1/2020,KNIFE CRIME,1586
9/1/2020,LETHAL BARREL DISCHARGE,31
9/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,1069
9/1/2020,POSSESSION OF WEAPONS,586
9/1/2020,PUBLIC ORDER OFFENCES,5096
9/1/2020,ROBBERY,2582
9/1/2020,SEXUAL OFFENCES,1583
9/1/2020,THEFT,16496
9/1/2020,VEHICLE OFFENCES,10097
9/1/2020,VIOLENCE AGAINST THE PERSON,19359
10/1/2020,ARSON AND CRIMINAL DAMAGE,4304
10/1/2020,BURGLARY,5628
10/1/2020,DOMESTIC ABUSE,9231
10/1/2020,DRUG OFFENCES,4398
10/1/2020,GUN CRIME,166
10/1/2020,HATE CRIME,5777
10/1/2020,KNIFE CRIME,1483
10/1/2020,LETHAL BARREL DISCHARGE,30
10/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,925
10/1/2020,POSSESSION OF WEAPONS,589
10/1/2020,PUBLIC ORDER OFFENCES,4549
10/1/2020,ROBBERY,2443
10/1/2020,SEXUAL OFFENCES,1632
10/1/2020,THEFT,16778
10/1/2020,VEHICLE OFFENCES,10553
10/1/2020,VIOLENCE AGAINST THE PERSON,18400
11/1/2020,ARSON AND CRIMINAL DAMAGE,4167
11/1/2020,BURGLARY,5198
11/1/2020,DOMESTIC ABUSE,9124
11/1/2020,DRUG OFFENCES,4714
11/1/2020,GUN CRIME,163
11/1/2020,HATE CRIME,5443
11/1/2020,KNIFE CRIME,1284
11/1/2020,LETHAL BARREL DISCHARGE,21
11/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,1060
11/1/2020,POSSESSION OF WEAPONS,595
11/1/2020,PUBLIC ORDER OFFENCES,4166
11/1/2020,ROBBERY,2308
11/1/2020,SEXUAL OFFENCES,1518
11/1/2020,THEFT,12894
11/1/2020,VEHICLE OFFENCES,9121
11/1/2020,VIOLENCE AGAINST THE PERSON,17953
12/1/2020,ARSON AND CRIMINAL DAMAGE,4038
12/1/2020,BURGLARY,4740
12/1/2020,DOMESTIC ABUSE,9464
12/1/2020,DRUG OFFENCES,3912
12/1/2020,GUN CRIME,112
12/1/2020,HATE CRIME,4829
12/1/2020,KNIFE CRIME,1282
12/1/2020,LETHAL BARREL DISCHARGE,9
12/1/2020,MISCELLANEOUS CRIMES AGAINST SOCIETY,860
12/1/2020,POSSESSION OF WEAPONS,470
12/1/2020,PUBLIC ORDER OFFENCES,3794
12/1/2020,ROBBERY,1998
12/1/2020,SEXUAL OFFENCES,1250
12/1/2020,THEFT,13269
12/1/2020,VEHICLE OFFENCES,7683
12/1/2020,VIOLENCE AGAINST THE PERSON,17059
1/1/2021,ARSON AND CRIMINAL DAMAGE,3621
1/1/2021,BURGLARY,4263
1/1/2021,DOMESTIC ABUSE,8865
1/1/2021,DRUG OFFENCES,4007
1/1/2021,FRAUD AND FORGERY,0
1/1/2021,GUN CRIME,139
1/1/2021,HATE CRIME,4416
1/1/2021,KNIFE CRIME,1036
1/1/2021,LETHAL BARREL DISCHARGE,12
1/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,850
1/1/2021,POSSESSION OF WEAPONS,444
1/1/2021,PUBLIC ORDER OFFENCES,3348
1/1/2021,ROBBERY,1449
1/1/2021,SEXUAL OFFENCES,1206
1/1/2021,THEFT,9512
1/1/2021,VEHICLE OFFENCES,7631
1/1/2021,VIOLENCE AGAINST THE PERSON,15520
2/1/2021,ARSON AND CRIMINAL DAMAGE,3530
2/1/2021,BURGLARY,4025
2/1/2021,DOMESTIC ABUSE,8359
2/1/2021,DRUG OFFENCES,4357
2/1/2021,GUN CRIME,107
2/1/2021,HATE CRIME,4520
2/1/2021,KNIFE CRIME,1191
2/1/2021,LETHAL BARREL DISCHARGE,10
2/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,841
2/1/2021,POSSESSION OF WEAPONS,458
2/1/2021,PUBLIC ORDER OFFENCES,3291
2/1/2021,ROBBERY,1326
2/1/2021,SEXUAL OFFENCES,1305
2/1/2021,THEFT,9394
2/1/2021,VEHICLE OFFENCES,7566
2/1/2021,VIOLENCE AGAINST THE PERSON,15359
3/1/2021,ARSON AND CRIMINAL DAMAGE,4138
3/1/2021,BURGLARY,4607
3/1/2021,DOMESTIC ABUSE,9066
3/1/2021,DRUG OFFENCES,4437
3/1/2021,GUN CRIME,147
3/1/2021,HATE CRIME,6172
3/1/2021,KNIFE CRIME,1372
3/1/2021,LETHAL BARREL DISCHARGE,19
3/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,997
3/1/2021,POSSESSION OF WEAPONS,501
3/1/2021,PUBLIC ORDER OFFENCES,4749
3/1/2021,ROBBERY,1636
3/1/2021,SEXUAL OFFENCES,1933
3/1/2021,THEFT,11327
3/1/2021,VEHICLE OFFENCES,8233
3/1/2021,VIOLENCE AGAINST THE PERSON,18582
4/1/2021,ARSON AND CRIMINAL DAMAGE,4226
4/1/2021,BURGLARY,4125
4/1/2021,DOMESTIC ABUSE,9182
4/1/2021,DRUG OFFENCES,4053
4/1/2021,GUN CRIME,135
4/1/2021,HATE CRIME,6296
4/1/2021,KNIFE CRIME,1315
4/1/2021,LETHAL BARREL DISCHARGE,17
4/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,979
4/1/2021,POSSESSION OF WEAPONS,484
4/1/2021,PUBLIC ORDER OFFENCES,4845
4/1/2021,ROBBERY,1686
4/1/2021,SEXUAL OFFENCES,1640
4/1/2021,THEFT,12993
4/1/2021,VEHICLE OFFENCES,7027
4/1/2021,VIOLENCE AGAINST THE PERSON,18295
5/1/2021,ARSON AND CRIMINAL DAMAGE,4645
5/1/2021,BURGLARY,4159
5/1/2021,DOMESTIC ABUSE,10290
5/1/2021,DRUG OFFENCES,3708
5/1/2021,FRAUD AND FORGERY,0
5/1/2021,GUN CRIME,122
5/1/2021,HATE CRIME,7788
5/1/2021,KNIFE CRIME,1311
5/1/2021,LETHAL BARREL DISCHARGE,19
5/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,1035
5/1/2021,POSSESSION OF WEAPONS,502
5/1/2021,PUBLIC ORDER OFFENCES,5296
5/1/2021,ROBBERY,1748
5/1/2021,SEXUAL OFFENCES,1922
5/1/2021,THEFT,14712
5/1/2021,VEHICLE OFFENCES,7708
5/1/2021,VIOLENCE AGAINST THE PERSON,20578
6/1/2021,ARSON AND CRIMINAL DAMAGE,4842
6/1/2021,BURGLARY,4234
6/1/2021,DOMESTIC ABUSE,10043
6/1/2021,DRUG OFFENCES,3505
6/1/2021,GUN CRIME,156
6/1/2021,HATE CRIME,7351
6/1/2021,KNIFE CRIME,1573
6/1/2021,LETHAL BARREL DISCHARGE,28
6/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,879
6/1/2021,POSSESSION OF WEAPONS,511
6/1/2021,PUBLIC ORDER OFFENCES,5586
6/1/2021,ROBBERY,1891
6/1/2021,SEXUAL OFFENCES,2034
6/1/2021,THEFT,15972
6/1/2021,VEHICLE OFFENCES,8011
6/1/2021,VIOLENCE AGAINST THE PERSON,20729
7/1/2021,ARSON AND CRIMINAL DAMAGE,4682
7/1/2021,BURGLARY,4238
7/1/2021,DOMESTIC ABUSE,10586
7/1/2021,DRUG OFFENCES,3556
7/1/2021,FRAUD AND FORGERY,0
7/1/2021,GUN CRIME,127
7/1/2021,HATE CRIME,8159
7/1/2021,KNIFE CRIME,1546
7/1/2021,LETHAL BARREL DISCHARGE,19
7/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,956
7/1/2021,POSSESSION OF WEAPONS,529
7/1/2021,PUBLIC ORDER OFFENCES,5849
7/1/2021,ROBBERY,1863
7/1/2021,SEXUAL OFFENCES,1987
7/1/2021,THEFT,16734
7/1/2021,VEHICLE OFFENCES,7836
7/1/2021,VIOLENCE AGAINST THE PERSON,21188
8/1/2021,ARSON AND CRIMINAL DAMAGE,4463
8/1/2021,BURGLARY,4316
8/1/2021,DOMESTIC ABUSE,9671
8/1/2021,DRUG OFFENCES,3433
8/1/2021,FRAUD AND FORGERY,0
8/1/2021,GUN CRIME,162
8/1/2021,HATE CRIME,6295
8/1/2021,KNIFE CRIME,1416
8/1/2021,LETHAL BARREL DISCHARGE,29
8/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,837
8/1/2021,POSSESSION OF WEAPONS,495
8/1/2021,PUBLIC ORDER OFFENCES,4695
8/1/2021,ROBBERY,1912
8/1/2021,SEXUAL OFFENCES,1700
8/1/2021,THEFT,16053
8/1/2021,VEHICLE OFFENCES,8591
8/1/2021,VIOLENCE AGAINST THE PERSON,18668
9/1/2021,ARSON AND CRIMINAL DAMAGE,4421
9/1/2021,BURGLARY,4278
9/1/2021,DOMESTIC ABUSE,9547
9/1/2021,DRUG OFFENCES,3185
9/1/2021,GUN CRIME,124
9/1/2021,HATE CRIME,6174
9/1/2021,KNIFE CRIME,1600
9/1/2021,LETHAL BARREL DISCHARGE,18
9/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,925
9/1/2021,POSSESSION OF WEAPONS,475
9/1/2021,PUBLIC ORDER OFFENCES,4979
9/1/2021,ROBBERY,2182
9/1/2021,SEXUAL OFFENCES,1983
9/1/2021,THEFT,16649
9/1/2021,VEHICLE OFFENCES,8901
9/1/2021,VIOLENCE AGAINST THE PERSON,19693
10/1/2021,ARSON AND CRIMINAL DAMAGE,4666
10/1/2021,BURGLARY,4717
10/1/2021,DOMESTIC ABUSE,10043
10/1/2021,DRUG OFFENCES,3885
10/1/2021,FRAUD AND FORGERY,0
10/1/2021,GUN CRIME,133
10/1/2021,HATE CRIME,6653
10/1/2021,KNIFE CRIME,1447
10/1/2021,LETHAL BARREL DISCHARGE,23
10/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,1025
10/1/2021,POSSESSION OF WEAPONS,560
10/1/2021,PUBLIC ORDER OFFENCES,5098
10/1/2021,ROBBERY,2223
10/1/2021,SEXUAL OFFENCES,2197
10/1/2021,THEFT,19015
10/1/2021,VEHICLE OFFENCES,9355
10/1/2021,VIOLENCE AGAINST THE PERSON,20438
11/1/2021,ARSON AND CRIMINAL DAMAGE,4429
11/1/2021,BURGLARY,4817
11/1/2021,DOMESTIC ABUSE,9357
11/1/2021,DRUG OFFENCES,3855
11/1/2021,FRAUD AND FORGERY,0
11/1/2021,GUN CRIME,102
11/1/2021,HATE CRIME,6282
11/1/2021,KNIFE CRIME,1350
11/1/2021,LETHAL BARREL DISCHARGE,11
11/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,963
11/1/2021,POSSESSION OF WEAPONS,535
11/1/2021,PUBLIC ORDER OFFENCES,4766
11/1/2021,ROBBERY,2202
11/1/2021,SEXUAL OFFENCES,2097
11/1/2021,THEFT,18595
11/1/2021,VEHICLE OFFENCES,9457
11/1/2021,VIOLENCE AGAINST THE PERSON,19694
12/1/2021,ARSON AND CRIMINAL DAMAGE,4134
12/1/2021,BURGLARY,4559
12/1/2021,DOMESTIC ABUSE,9651
12/1/2021,DRUG OFFENCES,3427
12/1/2021,FRAUD AND FORGERY,1
12/1/2021,GUN CRIME,164
12/1/2021,HATE CRIME,5733
12/1/2021,KNIFE CRIME,1403
12/1/2021,LETHAL BARREL DISCHARGE,17
12/1/2021,MISCELLANEOUS CRIMES AGAINST SOCIETY,862
12/1/2021,POSSESSION OF WEAPONS,496
12/1/2021,PUBLIC ORDER OFFENCES,4145
12/1/2021,ROBBERY,1904
12/1/2021,SEXUAL OFFENCES,1649
12/1/2021,THEFT,16650
12/1/2021,VEHICLE OFFENCES,8499
12/1/2021,VIOLENCE AGAINST THE PERSON,18469
1/1/2022,ARSON AND CRIMINAL DAMAGE,4240
1/1/2022,BURGLARY,4716
1/1/2022,DOMESTIC ABUSE,9671
1/1/2022,DRUG OFFENCES,4325
1/1/2022,FRAUD AND FORGERY,0
1/1/2022,GUN CRIME,87
1/1/2022,HATE CRIME,5435
1/1/2022,KNIFE CRIME,1466
1/1/2022,LETHAL BARREL DISCHARGE,7
1/1/2022,MISCELLANEOUS CRIMES AGAINST SOCIETY,933
1/1/2022,POSSESSION OF WEAPONS,560
1/1/2022,PUBLIC ORDER OFFENCES,3967
1/1/2022,ROBBERY,1979
1/1/2022,SEXUAL OFFENCES,1808
1/1/2022,THEFT,16081
1/1/2022,VEHICLE OFFENCES,8897
1/1/2022,VIOLENCE AGAINST THE PERSON,18521
2/1/2022,ARSON AND CRIMINAL DAMAGE,3818
2/1/2022,BURGLARY,4174
2/1/2022,DOMESTIC ABUSE,8874
2/1/2022,DRUG OFFENCES,3854
2/1/2022,FRAUD AND FORGERY,0
2/1/2022,GUN CRIME,119
2/1/2022,HATE CRIME,5360
2/1/2022,KNIFE CRIME,1294
2/1/2022,LETHAL BARREL DISCHARGE,13
2/1/2022,MISCELLANEOUS CRIMES AGAINST SOCIETY,926
2/1/2022,POSSESSION OF WEAPONS,527
2/1/2022,PUBLIC ORDER OFFENCES,4018
2/1/2022,ROBBERY,1902
2/1/2022,SEXUAL OFFENCES,1786
2/1/2022,THEFT,16396
2/1/2022,VEHICLE OFFENCES,7915
2/1/2022,VIOLENCE AGAINST THE PERSON,18058
3/1/2022,ARSON AND CRIMINAL DAMAGE,4317
3/1/2022,BURGLARY,4428
3/1/2022,DOMESTIC ABUSE,9637
3/1/2022,DRUG OFFENCES,4099
3/1/2022,FRAUD AND FORGERY,0
3/1/2022,GUN CRIME,109
3/1/2022,HATE CRIME,6430
3/1/2022,KNIFE CRIME,1363
3/1/2022,LETHAL BARREL DISCHARGE,12
3/1/2022,MISCELLANEOUS CRIMES AGAINST SOCIETY,1122
3/1/2022,POSSESSION OF WEAPONS,569
3/1/2022,PUBLIC ORDER OFFENCES,4773
3/1/2022,ROBBERY,1976
3/1/2022,SEXUAL OFFENCES,2046
3/1/2022,THEFT,18696
3/1/2022,VEHICLE OFFENCES,8889
3/1/2022,VIOLENCE AGAINST THE PERSON,19892
4/1/2022,ARSON AND CRIMINAL DAMAGE,4454
4/1/2022,BURGLARY,3894
4/1/2022,DOMESTIC ABUSE,9289
4/1/2022,DRUG OFFENCES,3273
4/1/2022,FRAUD AND FORGERY,0
4/1/2022,GUN CRIME,121
4/1/2022,HATE CRIME,5889
4/1/2022,KNIFE CRIME,1319
4/1/2022,LETHAL BARREL DISCHARGE,10
4/1/2022,MISCELLANEOUS CRIMES AGAINST SOCIETY,896
4/1/2022,POSSESSION OF WEAPONS,537
4/1/2022,PUBLIC ORDER OFFENCES,4383
4/1/2022,ROBBERY,1852
4/1/2022,SEXUAL OFFENCES,1768
4/1/2022,THEFT,18000
4/1/2022,VEHICLE OFFENCES,8450
4/1/2022,VIOLENCE AGAINST THE PERSON,18663
5/1/2022,ARSON AND CRIMINAL DAMAGE,4546
5/1/2022,BURGLARY,4405
5/1/2022,DOMESTIC ABUSE,9873
5/1/2022,DRUG OFFENCES,3903
5/1/2022,GUN CRIME,153
5/1/2022,HATE CRIME,6472
5/1/2022,KNIFE CRIME,1527
5/1/2022,LETHAL BARREL DISCHARGE,19
5/1/2022,MISCELLANEOUS CRIMES AGAINST SOCIETY,1067
5/1/2022,POSSESSION OF WEAPONS,541
5/1/2022,PUBLIC ORDER OFFENCES,5097
5/1/2022,ROBBERY,2379
5/1/2022,SEXUAL OFFENCES,2107
5/1/2022,THEFT,19202
5/1/2022,VEHICLE OFFENCES,8605
5/1/2022,VIOLENCE AGAINST THE PERSON,21068
6/1/2022,ARSON AND CRIMINAL DAMAGE,4434
6/1/2022,BURGLARY,4095
6/1/2022,DOMESTIC ABUSE,9635
6/1/2022,DRUG OFFENCES,3572
6/1/2022,FRAUD AND FORGERY,0
6/1/2022,GUN CRIME,130
6/1/2022,HATE CRIME,6349
6/1/2022,KNIFE CRIME,1566
6/1/2022,LETHAL BARREL DISCHARGE,23
6/1/2022,MISCELLANEOUS CRIMES AGAINST SOCIETY,1009
6/1/2022,POSSESSION OF WEAPONS,557
6/1/2022,PUBLIC ORDER OFFENCES,5072
6/1/2022,ROBBERY,2320
6/1/2022,SEXUAL OFFENCES,1967
6/1/2022,THEFT,18951
6/1/2022,VEHICLE OFFENCES,8775
6/1/2022,VIOLENCE AGAINST THE PERSON,19986
7/1/2022,ARSON AND CRIMINAL DAMAGE,4641
7/1/2022,BURGLARY,3691
7/1/2022,DOMESTIC ABUSE,10315
7/1/2022,DRUG OFFENCES,3756
7/1/2022,GUN CRIME,175
7/1/2022,HATE CRIME,6712
7/1/2022,KNIFE CRIME,1691
7/1/2022,LETHAL BARREL DISCHARGE,28
7/1/2022,MISCELLANEOUS CRIMES AGAINST SOCIETY,1069
7/1/2022,POSSESSION OF WEAPONS,520
7/1/2022,PUBLIC ORDER OFFENCES,5243
7/1/2022,ROBBERY,2342
7/1/2022,SEXUAL OFFENCES,2164
7/1/2022,THEFT,19749
7/1/2022,VEHICLE OFFENCES,8694
7/1/2022,VIOLENCE AGAINST THE PERSON,20731
8/1/2022,ARSON AND CRIMINAL DAMAGE,4560
8/1/2022,BURGLARY,4116
8/1/2022,DOMESTIC ABUSE,10107
8/1/2022,DRUG OFFENCES,3719
8/1/2022,FRAUD AND FORGERY,0
8/1/2022,GUN CRIME,189
8/1/2022,HATE CRIME,6199
8/1/2022,KNIFE CRIME,1681
8/1/2022,LETHAL BARREL DISCHARGE,39
8/1/2022,MISCELLANEOUS CRIMES AGAINST SOCIETY,1062
8/1/2022,POSSESSION OF WEAPONS,565
8/1/2022,PUBLIC ORDER OFFENCES,5036
8/1/2022,ROBBERY,2244
8/1/2022,SEXUAL OFFENCES,1919
8/1/2022,THEFT,18817
8/1/2022,VEHICLE OFFENCES,8966
8/1/2022,VIOLENCE AGAINST THE PERSON,19912
9/1/2022,ARSON AND CRIMINAL DAMAGE,4122
9/1/2022,BURGLARY,4395
9/1/2022,DOMESTIC ABUSE,9285
9/1/2022,DRUG OFFENCES,3108
9/1/2022,FRAUD AND FORGERY,3
9/1/2022,GUN CRIME,131
9/1/2022,HATE CRIME,5298
9/1/2022,KNIFE CRIME,1637
9/1/2022,LETHAL BARREL DISCHARGE,22
9/1/2022,MISCELLANEOUS CRIMES AGAINST SOCIETY,917
9/1/2022,POSSESSION OF WEAPONS,521
9/1/2022,PUBLIC ORDER OFFENCES,4415
9/1/2022,ROBBERY,2081
9/1/2022,SEXUAL OFFENCES,1884
9/1/2022,THEFT,17557
9/1/2022,VEHICLE OFFENCES,9144
9/1/2022,VIOLENCE AGAINST THE PERSON,18913
10/1/2022,ARSON AND CRIMINAL DAMAGE,4522
10/1/2022,BURGLARY,4584
10/1/2022,DOMESTIC ABUSE,9812
10/1/2022,DRUG OFFENCES,3488
10/1/2022,FRAUD AND FORGERY,0
10/1/2022,GUN CRIME,207
10/1/2022,HATE CRIME,5830
10/1/2022,KNIFE CRIME,2045
10/1/2022,LETHAL BARREL DISCHARGE,26
10/1/2022,MISCELLANEOUS CRIMES AGAINST SOCIETY,1016
10/1/2022,POSSESSION OF WEAPONS,541
10/1/2022,PUBLIC ORDER OFFENCES,4696
10/1/2022,ROBBERY,2634
10/1/2022,SEXUAL OFFENCES,1938
10/1/2022,THEFT,21127
10/1/2022,VEHICLE OFFENCES,9718
10/1/2022,VIOLENCE AGAINST THE PERSON,19753
11/1/2022,ARSON AND CRIMINAL DAMAGE,4325
11/1/2022,BURGLARY,4728
11/1/2022,DOMESTIC ABUSE,9177
11/1/2022,DRUG OFFENCES,3488
11/1/2022,FRAUD AND FORGERY,0
11/1/2022,GUN CRIME,112
11/1/2022,HATE CRIME,5623
11/1/2022,KNIFE CRIME,1700
